,run_id,BATCH_SIZE,N_LAYER,N_EMBD,training_time_secs,emissions_x,energy_consumed
0,2fe17256-aef2-454d-a653-00a967fd686d,16,4,128,202.60974431037903,0.0001065424322051,0.0007025547788009
1,26df26ae-fa67-4451-a379-7753a8859523,32,4,128,147.66796278953552,8.281739377641348e-05,0.000546108762126
2,e4065a5b-5912-4d39-ae24-f3bdf13751dd,64,4,128,121.77725577354433,7.531336828410677e-05,0.0004966262333274
3,360e41e8-7c63-4e78-a421-6f89c1120928,128,4,128,109.69751620292664,7.493868302533646e-05,0.0004941555095637
4,e190f2b7-81e1-4b84-8138-3e4aae47a9af,32,4,128,150.20587682724,8.530293490102704e-05,0.0005624987464624
5,611e0837-82e8-43ea-9d75-7789ea68829a,32,8,128,283.9137260913849,0.0001630739000408,0.0010753306959503
6,a87c82ba-2e18-49eb-919a-cce9a6be67ab,32,12,128,418.7001860141754,0.000246489859598,0.0016253864793803
7,06705d1a-533a-45f7-9933-a6638248066c,32,16,128,552.1492021083832,0.000320460994052,0.0021131618466996
8,845f94ea-449e-4e09-98b7-ba7751db6a00,32,4,32,125.0821270942688,6.419647456376409e-05,0.000423319977341
9,0de80e2a-e034-458d-9c2e-2c4661792a29,32,4,64,130.97714805603027,6.384809960754647e-05,0.0004210227471648
10,5f966964-fae3-4285-aaff-c849d3f46869,32,4,128,149.34345817565918,8.268986551599742e-05,0.0005452678240421
11,f12ceb59-7b4b-4eff-a14e-469ecba45127,32,4,256,224.16415095329285,0.0001534709052537,0.0010120072881882
